Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-12-31,Marty Supreme,2025,https://boxd.it/cl62Tp,4,,,2025-12-30
2026-01-03,Badlands,1973,https://boxd.it/co6xEd,3,,,2026-01-02
2026-01-03,Switchblade Sisters,1975,https://boxd.it/co6zdX,3,,,2026-01-02
2026-01-03,"Faster, Pussycat! Kill! Kill!",1965,https://boxd.it/co6BMF,3.5,,,2026-01-02
2026-01-03,One Battle After Another,2025,https://boxd.it/cojpkv,4,Yes,,2026-01-02
2026-01-03,The Long Goodbye,1973,https://boxd.it/coMF1R,2.5,,,2026-01-02
2026-01-04,California Split,1974,https://boxd.it/cq2rv5,3,,,2026-01-03
2026-01-04,Body Double,1984,https://boxd.it/cqOl5L,4,,,2026-01-03
2026-01-05,Cutter's Way,1981,https://boxd.it/csaVvj,3,,,2026-01-04
2026-01-05,The Silent Partner,1978,https://boxd.it/csBlQ5,3,,,2026-01-05
2026-01-07,The Taking of Pelham One Two Three,1974,https://boxd.it/cubwZD,3,,,2026-01-06
2026-01-07,The Housemaid,2025,https://boxd.it/cubxvJ,4,Yes,,2026-01-06
2026-01-07,Wake in Fright,1971,https://boxd.it/cuTQlV,3,,,2026-01-06
2026-01-07,The Getaway,1972,https://boxd.it/cuTTqp,3.5,,,2026-01-06
2026-01-08,Bullet Train,2022,https://boxd.it/cvy9Z1,4,Yes,,2026-01-07
2026-01-08,Zombieland,2009,https://boxd.it/cw2JAh,3.5,,,2026-01-07
2026-01-08,Zombieland: Double Tap,2019,https://boxd.it/cw2KDr,3.5,,,2026-01-07
2026-01-10,Snatch,2000,https://boxd.it/cyupIT,4,,,2026-01-10
2026-01-15,Snatch,2000,https://boxd.it/cE23SP,4,Yes,,2026-01-14
2026-01-15,"Lock, Stock and Two Smoking Barrels",1998,https://boxd.it/cE28JN,4,,,2026-01-14
2026-01-16,Materialists,2025,https://boxd.it/cEr3yl,3,,,2026-01-15
2026-01-16,When Harry Met Sally...,1989,https://boxd.it/cEwJWT,4.5,,,2026-01-15
2026-01-16,No Other Choice,2025,https://boxd.it/cEUywD,3.5,,,2026-01-15
2026-01-23,Friendship,2024,https://boxd.it/cMmkG9,5,Yes,,2026-01-23
2026-01-24,Molly's Game,2017,https://boxd.it/cNhaS9,3.5,Yes,,2026-01-23
2026-01-24,Licorice Pizza,2021,https://boxd.it/cNhbtz,4.5,Yes,,2026-01-23
2026-01-30,Marty Supreme,2025,https://boxd.it/cTm203,4,Yes,,2026-01-29
2026-01-31,Sinners,2025,https://boxd.it/cUwlL7,4,Yes,,2026-01-30
2026-02-02,No Country for Old Men,2007,https://boxd.it/cX5vaD,4,,,2026-02-01
2026-02-02,The Smashing Machine,2025,https://boxd.it/cX5xp1,4,,,2026-02-01
2026-02-02,If I Had Legs I'd Kick You,2025,https://boxd.it/cX6GMP,3,,,2026-02-01
2026-02-05,Bugonia,2025,https://boxd.it/cZHZlF,4,Yes,,2026-02-04
2026-02-05,After Hours,1985,https://boxd.it/cZNJUr,3.5,,,2026-02-04
2026-02-06,Shiva Baby,2020,https://boxd.it/d0bDBh,3,,,2026-02-05
2026-02-07,Vicky Cristina Barcelona,2008,https://boxd.it/d1th9P,3.5,,,2026-02-06
2026-02-07,Vanilla Sky,2001,https://boxd.it/d1tjvN,4,Yes,,2026-02-06
2026-02-08,Ex Machina,2015,https://boxd.it/d23wVV,4,Yes,,2026-02-07
